Population Size, Generation Count, Repetition, Best Fitness, Median Fitness
20, 0, 22, 735062, 775131
20, 10, 22, 712401, 721165
20, 20, 22, 689830, 695072
20, 30, 22, 673675, 679740
20, 40, 22, 660138, 664045
20, 50, 22, 652145, 655523
20, 60, 22, 633507, 636871
20, 70, 22, 617471, 623124
20, 80, 22, 610767, 611978
20, 90, 22, 603509, 605796
20, 100, 22, 591203, 594393
20, 110, 22, 581912, 584097
20, 120, 22, 571435, 575223
20, 130, 22, 561407, 565455
20, 140, 22, 556263, 558116
20, 150, 22, 548519, 551374
20, 160, 22, 533548, 539958
20, 170, 22, 527774, 533414
20, 180, 22, 516598, 521617
20, 190, 22, 512306, 514883
20, 200, 22, 502780, 509133
20, 210, 22, 497231, 500613
20, 220, 22, 491916, 493172
20, 230, 22, 483409, 488509
20, 240, 22, 480683, 484179
20, 250, 22, 473721, 474948
20, 260, 22, 467726, 470525
20, 270, 22, 463340, 465721
20, 280, 22, 457659, 460172
20, 290, 22, 454682, 458404
20, 300, 22, 451240, 453744
20, 310, 22, 447218, 448272
20, 320, 22, 444700, 449760
20, 330, 22, 442426, 444102
20, 340, 22, 439697, 442345
20, 350, 22, 430419, 436296
20, 360, 22, 427451, 430022
20, 370, 22, 424534, 426732
20, 380, 22, 423572, 424736
20, 390, 22, 421731, 426162
20, 400, 22, 419208, 423864
20, 410, 22, 414692, 417477
20, 420, 22, 411181, 414639
20, 430, 22, 409699, 414131
20, 440, 22, 406506, 409326
20, 450, 22, 403836, 405427
20, 460, 22, 401284, 404655
20, 470, 22, 397747, 402472
20, 480, 22, 396608, 397747
20, 490, 22, 394547, 397239
20, 500, 22, 391809, 394364
20, 510, 22, 387723, 391703
20, 520, 22, 385180, 386544
20, 530, 22, 382348, 383513
20, 540, 22, 379576, 384461
20, 550, 22, 376365, 378107
20, 560, 22, 373511, 375309
20, 570, 22, 370941, 372721
20, 580, 22, 369328, 371647
20, 590, 22, 368930, 370437
20, 600, 22, 365920, 369125
20, 610, 22, 364846, 367464
20, 620, 22, 362561, 365012
20, 630, 22, 360634, 363610
20, 640, 22, 357568, 360082
20, 650, 22, 355738, 357983
20, 660, 22, 353875, 357075
20, 670, 22, 352196, 353336
20, 680, 22, 347209, 353281
20, 690, 22, 341283, 343864
20, 700, 22, 339786, 343665
20, 710, 22, 335322, 339428
20, 720, 22, 334266, 336180
20, 730, 22, 331385, 335136
20, 740, 22, 329581, 331368
20, 750, 22, 324484, 329046
20, 760, 22, 323773, 326325
20, 770, 22, 320747, 323774
20, 780, 22, 318911, 320374
20, 790, 22, 318131, 323373
20, 800, 22, 317027, 319683
20, 810, 22, 314387, 315372
20, 820, 22, 311730, 315720
20, 830, 22, 310941, 313108
20, 840, 22, 310048, 311579
20, 850, 22, 308238, 309924
20, 860, 22, 307481, 308637
20, 870, 22, 303249, 306770
20, 880, 22, 302627, 302975
20, 890, 22, 301823, 303946
20, 900, 22, 301208, 302633
20, 910, 22, 300564, 301086
20, 920, 22, 298944, 302027
20, 930, 22, 296599, 301111
20, 940, 22, 295314, 299965
20, 950, 22, 294516, 297929
20, 960, 22, 292785, 295386
20, 970, 22, 292418, 293574
20, 980, 22, 290444, 293003
20, 990, 22, 289311, 291419
20, 1000, 22, 287391, 289390
20, 1010, 22, 285701, 288844
20, 1020, 22, 285024, 286991
20, 1030, 22, 282943, 284819
20, 1040, 22, 280144, 282922
20, 1050, 22, 278153, 280650
20, 1060, 22, 277228, 278153
20, 1070, 22, 277005, 279886
20, 1080, 22, 276134, 276758
20, 1090, 22, 275566, 277816
20, 1100, 22, 272903, 274567
20, 1110, 22, 271952, 273330
20, 1120, 22, 270520, 272019
20, 1130, 22, 269745, 272210
20, 1140, 22, 268578, 271438
20, 1150, 22, 268280, 272494
20, 1160, 22, 267698, 272632
20, 1170, 22, 266151, 266938
20, 1180, 22, 265352, 267526
20, 1190, 22, 264815, 268302
20, 1200, 22, 262632, 267173
20, 1210, 22, 261978, 263214
20, 1220, 22, 261535, 261978
20, 1230, 22, 259497, 264938
20, 1240, 22, 258838, 263573
20, 1250, 22, 257286, 260482
20, 1260, 22, 256511, 257668
20, 1270, 22, 254514, 255608
20, 1280, 22, 253484, 258790
20, 1290, 22, 253013, 254777
20, 1300, 22, 252437, 256350
20, 1310, 22, 252395, 254865
20, 1320, 22, 251672, 254564
20, 1330, 22, 250425, 253339
20, 1340, 22, 249908, 254037
20, 1350, 22, 246380, 251715
20, 1360, 22, 245390, 249325
20, 1370, 22, 243145, 245957
20, 1380, 22, 242605, 246128
20, 1390, 22, 242605, 244471
20, 1400, 22, 242070, 243052
20, 1410, 22, 241283, 243128
20, 1420, 22, 240803, 242540
20, 1430, 22, 239698, 242397
20, 1440, 22, 238547, 239266
20, 1450, 22, 237889, 238568
20, 1460, 22, 236343, 238084
20, 1470, 22, 235646, 239953
20, 1480, 22, 235614, 237455
20, 1490, 22, 235063, 236711
20, 1500, 22, 234897, 236584
20, 1510, 22, 233287, 234384
20, 1520, 22, 233287, 235962
20, 1530, 22, 233174, 237521
20, 1540, 22, 232410, 233675
20, 1550, 22, 232062, 233745
20, 1560, 22, 230068, 232085
20, 1570, 22, 229976, 232139
20, 1580, 22, 229231, 229339
20, 1590, 22, 229064, 229188
20, 1600, 22, 228640, 229422
20, 1610, 22, 228317, 229228
20, 1620, 22, 227464, 230225
20, 1630, 22, 227164, 229550
20, 1640, 22, 226920, 230351
20, 1650, 22, 226862, 227705
20, 1660, 22, 226692, 228614
20, 1670, 22, 225642, 230923
20, 1680, 22, 225072, 228256
20, 1690, 22, 223456, 227633
20, 1700, 22, 222839, 226322
20, 1710, 22, 222123, 225515
20, 1720, 22, 220127, 223458
20, 1730, 22, 219704, 221972
20, 1740, 22, 218977, 221339
20, 1750, 22, 218863, 224487
20, 1760, 22, 218863, 221154
20, 1770, 22, 218654, 221751
20, 1780, 22, 217829, 222492
20, 1790, 22, 217443, 219940
20, 1800, 22, 217271, 220706
20, 1810, 22, 216554, 216930
20, 1820, 22, 215272, 216899
20, 1830, 22, 214883, 216952
20, 1840, 22, 213121, 216151
20, 1850, 22, 212510, 216058
20, 1860, 22, 211985, 213260
20, 1870, 22, 211985, 214310
20, 1880, 22, 211730, 212668
20, 1890, 22, 211486, 213212
20, 1900, 22, 210711, 212542
20, 1910, 22, 210099, 211660
20, 1920, 22, 209911, 214168
20, 1930, 22, 209459, 212950
20, 1940, 22, 208879, 212777
20, 1950, 22, 208510, 208879
20, 1960, 22, 207769, 208514
20, 1970, 22, 207750, 210637
20, 1980, 22, 206952, 207892
20, 1990, 22, 206666, 211506
20, 2000, 22, 206666, 208430
20, 2010, 22, 206524, 210876
20, 2020, 22, 206210, 207599
20, 2030, 22, 206210, 209515
20, 2040, 22, 206092, 209188
20, 2050, 22, 205544, 207406
20, 2060, 22, 205177, 208495
20, 2070, 22, 204919, 205177
20, 2080, 22, 204204, 209438
20, 2090, 22, 203425, 206658
20, 2100, 22, 202624, 204288
20, 2110, 22, 202226, 206916
20, 2120, 22, 201983, 203086
20, 2130, 22, 201983, 204490
20, 2140, 22, 201983, 206127
20, 2150, 22, 201747, 204974
20, 2160, 22, 201459, 204032
20, 2170, 22, 200771, 202838
20, 2180, 22, 199986, 203002
20, 2190, 22, 199500, 202844
20, 2200, 22, 199451, 202085
20, 2210, 22, 198963, 202734
20, 2220, 22, 198873, 200538
20, 2230, 22, 198611, 200075
20, 2240, 22, 198500, 198533
20, 2250, 22, 198296, 202209
20, 2260, 22, 197485, 198209
20, 2270, 22, 196227, 198748
20, 2280, 22, 196018, 198704
20, 2290, 22, 194972, 195510
20, 2300, 22, 194626, 197622
20, 2310, 22, 194109, 196630
20, 2320, 22, 193631, 194049
20, 2330, 22, 193631, 194587
20, 2340, 22, 193208, 196214
20, 2350, 22, 192764, 197279
20, 2360, 22, 192340, 194741
20, 2370, 22, 192301, 197519
20, 2380, 22, 192097, 194759
20, 2390, 22, 192060, 194727
20, 2400, 22, 192060, 194767
20, 2410, 22, 191716, 194915
20, 2420, 22, 191159, 193474
20, 2430, 22, 190597, 194024
20, 2440, 22, 189598, 192318
20, 2450, 22, 189503, 192607
20, 2460, 22, 189407, 189822
20, 2470, 22, 189123, 190785
20, 2480, 22, 189123, 191257
20, 2490, 22, 189034, 190709
20, 2500, 22, 187986, 191385
20, 2510, 22, 187986, 188350
20, 2520, 22, 186987, 188908
20, 2530, 22, 185408, 188674
20, 2540, 22, 185278, 186653
20, 2550, 22, 185052, 188784
20, 2560, 22, 184636, 187986
20, 2570, 22, 184567, 186126
20, 2580, 22, 183589, 186432
20, 2590, 22, 183161, 183469
20, 2600, 22, 182961, 187327
20, 2610, 22, 182113, 183620
20, 2620, 22, 182113, 183789
20, 2630, 22, 182022, 183438
20, 2640, 22, 181989, 182524
20, 2650, 22, 181423, 182723
20, 2660, 22, 181249, 183817
20, 2670, 22, 180405, 182911
20, 2680, 22, 180002, 181649
20, 2690, 22, 179851, 183299
20, 2700, 22, 179361, 183181
20, 2710, 22, 177726, 179005
20, 2720, 22, 177275, 179831
20, 2730, 22, 176892, 180597
20, 2740, 22, 176405, 181476
20, 2750, 22, 175784, 176295
20, 2760, 22, 174966, 176867
20, 2770, 22, 174330, 175107
20, 2780, 22, 174269, 177346
20, 2790, 22, 173390, 178524
20, 2800, 22, 173356, 177145
20, 2810, 22, 173013, 177075
20, 2820, 22, 172641, 174404
20, 2830, 22, 172608, 178702
20, 2840, 22, 172552, 175802
20, 2850, 22, 172281, 173532
20, 2860, 22, 172254, 173185
20, 2870, 22, 170767, 172550
20, 2880, 22, 170767, 173090
20, 2890, 22, 170415, 174803
20, 2900, 22, 170011, 173605
20, 2910, 22, 169919, 171941
20, 2920, 22, 169546, 172160
20, 2930, 22, 169071, 169811
20, 2940, 22, 169071, 169291
20, 2950, 22, 168606, 171078
20, 2960, 22, 168079, 171295
20, 2970, 22, 167532, 170899
