Population Size, Generation Count, Repetition, Best Fitness, Median Fitness
20, 0, 19, 752003, 769410
20, 10, 19, 700821, 720692
20, 20, 19, 685326, 688127
20, 30, 19, 671186, 674427
20, 40, 19, 656169, 658796
20, 50, 19, 636527, 642075
20, 60, 19, 619511, 626315
20, 70, 19, 609505, 612782
20, 80, 19, 602504, 607312
20, 90, 19, 595662, 597578
20, 100, 19, 588130, 590819
20, 110, 19, 578851, 584808
20, 120, 19, 574093, 576614
20, 130, 19, 560119, 563664
20, 140, 19, 555680, 559879
20, 150, 19, 547615, 550604
20, 160, 19, 536706, 539933
20, 170, 19, 526695, 528751
20, 180, 19, 519813, 523422
20, 190, 19, 512192, 512536
20, 200, 19, 508395, 510299
20, 210, 19, 497708, 502595
20, 220, 19, 491740, 495730
20, 230, 19, 487737, 490807
20, 240, 19, 484341, 487032
20, 250, 19, 480754, 484815
20, 260, 19, 475131, 479964
20, 270, 19, 469909, 473149
20, 280, 19, 464465, 466636
20, 290, 19, 460436, 461902
20, 300, 19, 454553, 456095
20, 310, 19, 449369, 451985
20, 320, 19, 446080, 448686
20, 330, 19, 440967, 441788
20, 340, 19, 436952, 440946
20, 350, 19, 432752, 435140
20, 360, 19, 429142, 432521
20, 370, 19, 426740, 428168
20, 380, 19, 422260, 424380
20, 390, 19, 418552, 421065
20, 400, 19, 414704, 416550
20, 410, 19, 412053, 413904
20, 420, 19, 409707, 412113
20, 430, 19, 406708, 409485
20, 440, 19, 403763, 406541
20, 450, 19, 399992, 403534
20, 460, 19, 397453, 401176
20, 470, 19, 396258, 398965
20, 480, 19, 393528, 395675
20, 490, 19, 388035, 390930
20, 500, 19, 386148, 389867
20, 510, 19, 383237, 385404
20, 520, 19, 379182, 384122
20, 530, 19, 377503, 379888
20, 540, 19, 376049, 378418
20, 550, 19, 373174, 374917
20, 560, 19, 369867, 372326
20, 570, 19, 366989, 369594
20, 580, 19, 366585, 368320
20, 590, 19, 362619, 367736
20, 600, 19, 360634, 363849
20, 610, 19, 360018, 363111
20, 620, 19, 357855, 361332
20, 630, 19, 355982, 360772
20, 640, 19, 353963, 357586
20, 650, 19, 352489, 353695
20, 660, 19, 348532, 352473
20, 670, 19, 344691, 347499
20, 680, 19, 342959, 347043
20, 690, 19, 341529, 344212
20, 700, 19, 340907, 343157
20, 710, 19, 340285, 343240
20, 720, 19, 336676, 340546
20, 730, 19, 332866, 338800
20, 740, 19, 330701, 334521
20, 750, 19, 330022, 333238
20, 760, 19, 327891, 332336
20, 770, 19, 325376, 325693
20, 780, 19, 322475, 327442
20, 790, 19, 321280, 324329
20, 800, 19, 319409, 324055
20, 810, 19, 317517, 321688
20, 820, 19, 316227, 317932
20, 830, 19, 315317, 315758
20, 840, 19, 313731, 316101
20, 850, 19, 310495, 312454
20, 860, 19, 308157, 310587
20, 870, 19, 307646, 308760
20, 880, 19, 307155, 307923
20, 890, 19, 303747, 307163
20, 900, 19, 301338, 303016
20, 910, 19, 299708, 302761
20, 920, 19, 298842, 299606
20, 930, 19, 297824, 300289
20, 940, 19, 294793, 298538
20, 950, 19, 293867, 297949
20, 960, 19, 292856, 295931
20, 970, 19, 291942, 294416
20, 980, 19, 290381, 293749
20, 990, 19, 288825, 291794
20, 1000, 19, 287636, 289381
20, 1010, 19, 286373, 286806
20, 1020, 19, 284593, 288168
20, 1030, 19, 284284, 285726
20, 1040, 19, 283406, 288011
20, 1050, 19, 282404, 284774
20, 1060, 19, 281088, 283359
20, 1070, 19, 279409, 281776
20, 1080, 19, 279329, 282416
20, 1090, 19, 278127, 281220
20, 1100, 19, 274561, 276878
20, 1110, 19, 272157, 273209
20, 1120, 19, 270506, 273297
20, 1130, 19, 269885, 272208
20, 1140, 19, 269636, 271137
20, 1150, 19, 267675, 272633
20, 1160, 19, 265674, 268297
20, 1170, 19, 264101, 266673
20, 1180, 19, 263957, 264076
20, 1190, 19, 263565, 266055
20, 1200, 19, 261897, 263389
20, 1210, 19, 261350, 266246
20, 1220, 19, 260351, 263623
20, 1230, 19, 260301, 263023
20, 1240, 19, 258698, 260715
20, 1250, 19, 257821, 260310
20, 1260, 19, 257617, 260336
20, 1270, 19, 256370, 257334
20, 1280, 19, 256218, 259832
20, 1290, 19, 255142, 258404
20, 1300, 19, 254390, 255850
20, 1310, 19, 253067, 257444
20, 1320, 19, 252938, 255179
20, 1330, 19, 252068, 255741
20, 1340, 19, 251238, 253838
20, 1350, 19, 250930, 252568
20, 1360, 19, 250523, 251777
20, 1370, 19, 250091, 256056
20, 1380, 19, 249479, 251467
20, 1390, 19, 249130, 251078
20, 1400, 19, 249130, 249148
20, 1410, 19, 246795, 248381
20, 1420, 19, 246567, 249188
20, 1430, 19, 245006, 246410
20, 1440, 19, 243322, 245420
20, 1450, 19, 242027, 244428
20, 1460, 19, 241287, 243155
20, 1470, 19, 239546, 242246
20, 1480, 19, 238435, 241298
20, 1490, 19, 237772, 239258
20, 1500, 19, 237116, 238135
20, 1510, 19, 234493, 236900
20, 1520, 19, 232843, 236450
20, 1530, 19, 231074, 231623
20, 1540, 19, 230735, 234226
20, 1550, 19, 230651, 231788
20, 1560, 19, 229841, 231235
20, 1570, 19, 229617, 231578
20, 1580, 19, 228954, 231321
20, 1590, 19, 227771, 233694
20, 1600, 19, 227340, 230253
20, 1610, 19, 227145, 227340
20, 1620, 19, 226331, 227571
20, 1630, 19, 226022, 227735
20, 1640, 19, 225434, 225760
20, 1650, 19, 224890, 226465
20, 1660, 19, 223972, 226295
20, 1670, 19, 223364, 225407
20, 1680, 19, 223148, 223364
20, 1690, 19, 222478, 224542
20, 1700, 19, 222442, 223073
20, 1710, 19, 221942, 224185
20, 1720, 19, 221590, 223314
20, 1730, 19, 221475, 224792
20, 1740, 19, 220806, 222537
20, 1750, 19, 220522, 225120
20, 1760, 19, 220491, 227736
20, 1770, 19, 219442, 219442
20, 1780, 19, 218420, 221587
20, 1790, 19, 218264, 221163
20, 1800, 19, 217642, 219346
20, 1810, 19, 216814, 219367
20, 1820, 19, 215851, 218990
20, 1830, 19, 215641, 215867
20, 1840, 19, 215625, 221179
20, 1850, 19, 215028, 216732
20, 1860, 19, 214789, 217331
20, 1870, 19, 214724, 217409
20, 1880, 19, 214208, 215763
20, 1890, 19, 212208, 214456
20, 1900, 19, 210832, 212214
20, 1910, 19, 210145, 214745
20, 1920, 19, 209577, 213965
20, 1930, 19, 209484, 209960
20, 1940, 19, 209172, 209484
20, 1950, 19, 208750, 210337
20, 1960, 19, 208371, 212121
20, 1970, 19, 208371, 211600
20, 1980, 19, 205780, 209017
20, 1990, 19, 204941, 206516
20, 2000, 19, 204934, 206338
20, 2010, 19, 204859, 207636
20, 2020, 19, 204599, 209129
20, 2030, 19, 203350, 204123
20, 2040, 19, 202957, 204153
20, 2050, 19, 202873, 206740
20, 2060, 19, 202477, 204672
20, 2070, 19, 201875, 203281
20, 2080, 19, 201510, 203896
20, 2090, 19, 200957, 202902
20, 2100, 19, 200807, 205126
20, 2110, 19, 198342, 201085
20, 2120, 19, 198072, 202409
20, 2130, 19, 198072, 202636
20, 2140, 19, 197695, 199265
20, 2150, 19, 197240, 199462
20, 2160, 19, 196515, 199857
20, 2170, 19, 196422, 199483
20, 2180, 19, 195360, 198398
20, 2190, 19, 195254, 196899
20, 2200, 19, 194990, 197054
20, 2210, 19, 193912, 197856
20, 2220, 19, 193912, 198038
20, 2230, 19, 193217, 197152
20, 2240, 19, 193217, 197071
20, 2250, 19, 192973, 193217
20, 2260, 19, 192047, 194268
20, 2270, 19, 191708, 197693
20, 2280, 19, 191022, 193974
20, 2290, 19, 190645, 193562
20, 2300, 19, 190645, 193072
20, 2310, 19, 189219, 190898
20, 2320, 19, 188711, 190967
20, 2330, 19, 188406, 191109
20, 2340, 19, 188170, 190198
20, 2350, 19, 188170, 191383
20, 2360, 19, 187083, 189043
20, 2370, 19, 186890, 188692
20, 2380, 19, 185684, 187151
20, 2390, 19, 184856, 185605
20, 2400, 19, 184856, 187023
20, 2410, 19, 184005, 187024
20, 2420, 19, 183921, 186676
20, 2430, 19, 182634, 187937
20, 2440, 19, 180956, 185686
20, 2450, 19, 179908, 182103
20, 2460, 19, 179908, 184313
20, 2470, 19, 178797, 180998
20, 2480, 19, 178797, 181007
20, 2490, 19, 178362, 182364
20, 2500, 19, 177711, 180762
20, 2510, 19, 177529, 180072
20, 2520, 19, 177214, 182021
20, 2530, 19, 177189, 178518
20, 2540, 19, 177079, 180264
20, 2550, 19, 176950, 179220
20, 2560, 19, 176753, 177918
20, 2570, 19, 176295, 176712
20, 2580, 19, 176295, 179043
20, 2590, 19, 176157, 179134
20, 2600, 19, 176035, 178343
20, 2610, 19, 176004, 176159
20, 2620, 19, 175816, 176004
20, 2630, 19, 175393, 178219
20, 2640, 19, 174926, 176590
20, 2650, 19, 174902, 174926
20, 2660, 19, 174203, 176178
20, 2670, 19, 173105, 177174
20, 2680, 19, 173014, 174951
20, 2690, 19, 172365, 174691
20, 2700, 19, 171858, 175988
20, 2710, 19, 171858, 176340
20, 2720, 19, 171362, 174303
20, 2730, 19, 170685, 170685
20, 2740, 19, 170453, 173096
20, 2750, 19, 170034, 173510
20, 2760, 19, 169968, 170457
20, 2770, 19, 169968, 170436
20, 2780, 19, 168482, 172259
20, 2790, 19, 168341, 172607
20, 2800, 19, 167139, 170843
20, 2810, 19, 166846, 168747
