Population Size, Generation Count, Repetition, Best Fitness, Median Fitness
50, 0, 26, 722440, 774277
50, 10, 26, 682184, 694908
50, 20, 26, 656841, 662494
50, 30, 26, 636342, 642689
50, 40, 26, 621242, 628388
50, 50, 26, 611251, 616541
50, 60, 26, 591180, 602196
50, 70, 26, 575856, 581408
50, 80, 26, 560288, 567645
50, 90, 26, 550179, 555824
50, 100, 26, 541126, 545414
50, 110, 26, 527580, 532971
50, 120, 26, 521179, 525855
50, 130, 26, 512224, 517559
50, 140, 26, 506609, 508634
50, 150, 26, 498854, 502103
50, 160, 26, 491268, 496954
50, 170, 26, 482786, 485209
50, 180, 26, 475953, 480112
50, 190, 26, 468895, 472604
50, 200, 26, 461545, 465915
50, 210, 26, 452302, 457736
50, 220, 26, 446826, 450747
50, 230, 26, 440861, 444730
50, 240, 26, 435060, 439542
50, 250, 26, 430753, 434341
50, 260, 26, 425540, 428474
50, 270, 26, 422201, 426350
50, 280, 26, 417548, 422550
50, 290, 26, 413810, 417911
50, 300, 26, 409745, 412378
50, 310, 26, 403713, 408558
50, 320, 26, 398241, 403455
50, 330, 26, 393409, 398467
50, 340, 26, 388402, 391440
50, 350, 26, 384336, 389197
50, 360, 26, 378811, 382722
50, 370, 26, 373861, 377927
50, 380, 26, 371618, 375168
50, 390, 26, 369406, 371622
50, 400, 26, 363881, 367755
50, 410, 26, 361244, 363454
50, 420, 26, 358333, 360869
50, 430, 26, 352922, 356901
50, 440, 26, 350555, 354397
50, 450, 26, 346701, 350592
50, 460, 26, 344088, 347686
50, 470, 26, 341215, 344838
50, 480, 26, 337764, 340701
50, 490, 26, 335197, 338617
50, 500, 26, 331438, 336752
50, 510, 26, 327486, 328783
50, 520, 26, 325751, 330400
50, 530, 26, 320384, 323994
50, 540, 26, 319358, 321413
50, 550, 26, 316942, 321634
50, 560, 26, 315124, 318521
50, 570, 26, 313193, 316512
50, 580, 26, 311151, 313184
50, 590, 26, 308565, 312386
50, 600, 26, 306339, 309628
50, 610, 26, 305198, 308455
