Population Size, Generation Count, Repetition, Best Fitness, Median Fitness
20, 0, 21, 734903, 771745
20, 10, 21, 704880, 714200
20, 20, 21, 690398, 693854
20, 30, 21, 672417, 680009
20, 40, 21, 656798, 660641
20, 50, 21, 646833, 650955
20, 60, 21, 638408, 642209
20, 70, 21, 626070, 630343
20, 80, 21, 616757, 619386
20, 90, 21, 605682, 610347
20, 100, 21, 594659, 601241
20, 110, 21, 588564, 591859
20, 120, 21, 574801, 580356
20, 130, 21, 561686, 568178
20, 140, 21, 557390, 559423
20, 150, 21, 548417, 554590
20, 160, 21, 544729, 547103
20, 170, 21, 539024, 542436
20, 180, 21, 531802, 537332
20, 190, 21, 526435, 528959
20, 200, 21, 517594, 522222
20, 210, 21, 512504, 514870
20, 220, 21, 506747, 509478
20, 230, 21, 500396, 504630
20, 240, 21, 495176, 497730
20, 250, 21, 487371, 492816
20, 260, 21, 481406, 485916
20, 270, 21, 479805, 481417
20, 280, 21, 476637, 480050
20, 290, 21, 473431, 476349
20, 300, 21, 468580, 472950
20, 310, 21, 463362, 466930
20, 320, 21, 458212, 462780
20, 330, 21, 451684, 454541
20, 340, 21, 444971, 448339
20, 350, 21, 441860, 446116
20, 360, 21, 435786, 440365
20, 370, 21, 433077, 434167
20, 380, 21, 429539, 431616
20, 390, 21, 423229, 426175
20, 400, 21, 421494, 423412
20, 410, 21, 418875, 421211
20, 420, 21, 416487, 418499
20, 430, 21, 410525, 416168
20, 440, 21, 408146, 409897
20, 450, 21, 405409, 409886
20, 460, 21, 402724, 405594
20, 470, 21, 398223, 401789
20, 480, 21, 392262, 397450
20, 490, 21, 388794, 391326
20, 500, 21, 384468, 388528
20, 510, 21, 381077, 384121
20, 520, 21, 379396, 381941
20, 530, 21, 377243, 378681
20, 540, 21, 372181, 378908
20, 550, 21, 368942, 373045
20, 560, 21, 367140, 369276
20, 570, 21, 365414, 365861
20, 580, 21, 363571, 366082
20, 590, 21, 356402, 360367
20, 600, 21, 354988, 356306
20, 610, 21, 352334, 354941
20, 620, 21, 350112, 353525
20, 630, 21, 345634, 349768
20, 640, 21, 345008, 347658
20, 650, 21, 343653, 345008
20, 660, 21, 341393, 342692
20, 670, 21, 340486, 342584
20, 680, 21, 338721, 341458
20, 690, 21, 336828, 339919
20, 700, 21, 334653, 337109
20, 710, 21, 332409, 335642
20, 720, 21, 331469, 333108
20, 730, 21, 328625, 331056
20, 740, 21, 326355, 328236
20, 750, 21, 323743, 326420
20, 760, 21, 322018, 325182
20, 770, 21, 320398, 324387
20, 780, 21, 316840, 320128
20, 790, 21, 316254, 319607
20, 800, 21, 315530, 317711
20, 810, 21, 314730, 316310
20, 820, 21, 313819, 315648
20, 830, 21, 312658, 316350
20, 840, 21, 311039, 312504
20, 850, 21, 309744, 311469
20, 860, 21, 306383, 310312
20, 870, 21, 305795, 308254
20, 880, 21, 304884, 305795
20, 890, 21, 304007, 306816
20, 900, 21, 302296, 306215
20, 910, 21, 301014, 304347
20, 920, 21, 298039, 301289
20, 930, 21, 296383, 298114
20, 940, 21, 295138, 297462
20, 950, 21, 293739, 296045
20, 960, 21, 291798, 296404
20, 970, 21, 290993, 292562
20, 980, 21, 289761, 293510
20, 990, 21, 288521, 291673
20, 1000, 21, 287586, 291099
20, 1010, 21, 286687, 289996
20, 1020, 21, 285572, 287496
20, 1030, 21, 282658, 284259
20, 1040, 21, 281143, 283252
20, 1050, 21, 278177, 281143
20, 1060, 21, 275841, 278565
20, 1070, 21, 275321, 277882
20, 1080, 21, 273373, 275321
20, 1090, 21, 270751, 273326
20, 1100, 21, 270339, 272338
