Population Size, Generation Count, Repetition, Best Fitness, Median Fitness
20, 0, 25, 755608, 775055
20, 10, 25, 714516, 718626
20, 20, 25, 694733, 703306
20, 30, 25, 674629, 683969
20, 40, 25, 665655, 667938
20, 50, 25, 655713, 659586
20, 60, 25, 640153, 645387
20, 70, 25, 634193, 637887
20, 80, 25, 622301, 624993
20, 90, 25, 611211, 614164
20, 100, 25, 601838, 606285
20, 110, 25, 592044, 595609
20, 120, 25, 580231, 585371
20, 130, 25, 571805, 577119
20, 140, 25, 563435, 565967
20, 150, 25, 551471, 559979
20, 160, 25, 541501, 545971
20, 170, 25, 534429, 540518
20, 180, 25, 528316, 530963
20, 190, 25, 521490, 524119
20, 200, 25, 517667, 519960
20, 210, 25, 505786, 510198
20, 220, 25, 498682, 502471
20, 230, 25, 491482, 495998
20, 240, 25, 486668, 488686
20, 250, 25, 480731, 486194
20, 260, 25, 476338, 480578
20, 270, 25, 470399, 474567
20, 280, 25, 465581, 467537
20, 290, 25, 463367, 465193
20, 300, 25, 459515, 461874
20, 310, 25, 453796, 458444
20, 320, 25, 447973, 450507
20, 330, 25, 440582, 444154
20, 340, 25, 438867, 441922
20, 350, 25, 432991, 435678
20, 360, 25, 428309, 436130
20, 370, 25, 424251, 427272
20, 380, 25, 418648, 422357
20, 390, 25, 417191, 419706
20, 400, 25, 416022, 418187
20, 410, 25, 412298, 417461
20, 420, 25, 409274, 412460
20, 430, 25, 404290, 408706
20, 440, 25, 398161, 401363
20, 450, 25, 393745, 397894
20, 460, 25, 389397, 393881
20, 470, 25, 387858, 389114
20, 480, 25, 386305, 389120
20, 490, 25, 383767, 386871
20, 500, 25, 379567, 381991
20, 510, 25, 376230, 379458
20, 520, 25, 373054, 374756
20, 530, 25, 371804, 373702
20, 540, 25, 369372, 372464
20, 550, 25, 366462, 367374
20, 560, 25, 364925, 366677
20, 570, 25, 360857, 364597
20, 580, 25, 358374, 362901
20, 590, 25, 356231, 358755
20, 600, 25, 354081, 357903
20, 610, 25, 351604, 355060
20, 620, 25, 349089, 349941
20, 630, 25, 347259, 348528
20, 640, 25, 343544, 344753
20, 650, 25, 343466, 346441
20, 660, 25, 340813, 344325
20, 670, 25, 340683, 344078
20, 680, 25, 339292, 342452
20, 690, 25, 338367, 341410
20, 700, 25, 335691, 338558
20, 710, 25, 334354, 337470
20, 720, 25, 331941, 336010
20, 730, 25, 330131, 330131
20, 740, 25, 328698, 330788
20, 750, 25, 325985, 330486
20, 760, 25, 323649, 326304
20, 770, 25, 321165, 322830
20, 780, 25, 319611, 321856
20, 790, 25, 316850, 319740
20, 800, 25, 315207, 317440
20, 810, 25, 312884, 316325
20, 820, 25, 312447, 312874
20, 830, 25, 309339, 312080
20, 840, 25, 309255, 309304
20, 850, 25, 307508, 310120
20, 860, 25, 307025, 308069
20, 870, 25, 306122, 308986
20, 880, 25, 305716, 306017
20, 890, 25, 304646, 306858
20, 900, 25, 302253, 303764
20, 910, 25, 298294, 301321
20, 920, 25, 297855, 300292
20, 930, 25, 294440, 299630
20, 940, 25, 293122, 293607
20, 950, 25, 292034, 295427
20, 960, 25, 291452, 295746
20, 970, 25, 289957, 293709
20, 980, 25, 287838, 291563
20, 990, 25, 286648, 290364
20, 1000, 25, 283607, 284193
20, 1010, 25, 283481, 287791
20, 1020, 25, 283009, 286078
20, 1030, 25, 281399, 285632
20, 1040, 25, 280023, 282473
20, 1050, 25, 279191, 281816
20, 1060, 25, 276757, 281384
20, 1070, 25, 275449, 280027
20, 1080, 25, 274745, 278013
20, 1090, 25, 274279, 276291
20, 1100, 25, 273264, 277408
20, 1110, 25, 272034, 274442
20, 1120, 25, 270840, 273186
20, 1130, 25, 270670, 274979
20, 1140, 25, 269597, 272773
20, 1150, 25, 268137, 270304
20, 1160, 25, 266649, 270085
20, 1170, 25, 265862, 267218
20, 1180, 25, 265008, 265570
