Population Size, Generation Count, Repetition, Best Fitness, Median Fitness
50, 0, 3, 737239, 768118
50, 10, 3, 710691, 716708
50, 20, 3, 692496, 700910
50, 30, 3, 673958, 680085
50, 40, 3, 658049, 666414
50, 50, 3, 642602, 651583
50, 60, 3, 630052, 636327
50, 70, 3, 611809, 617650
50, 80, 3, 593745, 602002
50, 90, 3, 581342, 587698
50, 100, 3, 566176, 571406
50, 110, 3, 556465, 561473
50, 120, 3, 546847, 550272
50, 130, 3, 535441, 541696
50, 140, 3, 528912, 532216
50, 150, 3, 515129, 520104
50, 160, 3, 509648, 511708
50, 170, 3, 502766, 507137
50, 180, 3, 495369, 499386
50, 190, 3, 489625, 494527
50, 200, 3, 483678, 487081
50, 210, 3, 477498, 482660
50, 220, 3, 468919, 475080
50, 230, 3, 461925, 467111
50, 240, 3, 454941, 458986
50, 250, 3, 450075, 453305
50, 260, 3, 442501, 449034
50, 270, 3, 438137, 442658
50, 280, 3, 433068, 435957
50, 290, 3, 425250, 430565
50, 300, 3, 421784, 424541
50, 310, 3, 415962, 419886
50, 320, 3, 412141, 415351
50, 330, 3, 407163, 410083
50, 340, 3, 403735, 406260
50, 350, 3, 400849, 403220
50, 360, 3, 394630, 398412
50, 370, 3, 389291, 393432
50, 380, 3, 385607, 388169
50, 390, 3, 381076, 385134
50, 400, 3, 374360, 380101
50, 410, 3, 369960, 374478
50, 420, 3, 367804, 371462
50, 430, 3, 363519, 365975
50, 440, 3, 360982, 363816
50, 450, 3, 355640, 359264
50, 460, 3, 354805, 357833
50, 470, 3, 351632, 352798
50, 480, 3, 349231, 352722
50, 490, 3, 345680, 348685
50, 500, 3, 343303, 346096
50, 510, 3, 341512, 343908
50, 520, 3, 337806, 341546
50, 530, 3, 335687, 337215
50, 540, 3, 333980, 338197
50, 550, 3, 330987, 334066
50, 560, 3, 328694, 331132
50, 570, 3, 323912, 325921
50, 580, 3, 321177, 323889
50, 590, 3, 319383, 322599
50, 600, 3, 316836, 319284
50, 610, 3, 314941, 317769
50, 620, 3, 312629, 315129
50, 630, 3, 309398, 312339
50, 640, 3, 307843, 310203
50, 650, 3, 306116, 308127
50, 660, 3, 304820, 308267
50, 670, 3, 302902, 305101
50, 680, 3, 301886, 307318
50, 690, 3, 299974, 303519
50, 700, 3, 298183, 301489
50, 710, 3, 296461, 299223
50, 720, 3, 294943, 298566
50, 730, 3, 293435, 295414
50, 740, 3, 290287, 292501
50, 750, 3, 287974, 292378
50, 760, 3, 286966, 291312
50, 770, 3, 284865, 288161
50, 780, 3, 281884, 285088
50, 790, 3, 280549, 283094
50, 800, 3, 279338, 283084
50, 810, 3, 278853, 281016
50, 820, 3, 277456, 280617
50, 830, 3, 276842, 280177
50, 840, 3, 274579, 278200
50, 850, 3, 272790, 275803
50, 860, 3, 270773, 274741
50, 870, 3, 268450, 271278
50, 880, 3, 267498, 271386
50, 890, 3, 266459, 268985
50, 900, 3, 264393, 268253
50, 910, 3, 262357, 264093
50, 920, 3, 261239, 266162
50, 930, 3, 259919, 263993
50, 940, 3, 258910, 260881
50, 950, 3, 257427, 260133
50, 960, 3, 255233, 257892
50, 970, 3, 251100, 257566
50, 980, 3, 249742, 253177
50, 990, 3, 248157, 253704
50, 1000, 3, 247599, 249620
50, 1010, 3, 244663, 249389
50, 1020, 3, 242896, 246071
50, 1030, 3, 241283, 244519
50, 1040, 3, 240696, 243588
50, 1050, 3, 239075, 242184
50, 1060, 3, 237337, 240348
50, 1070, 3, 236024, 238143
50, 1080, 3, 235385, 238549
50, 1090, 3, 233924, 237039
50, 1100, 3, 233255, 236718
50, 1110, 3, 230761, 233303
50, 1120, 3, 229472, 233043
50, 1130, 3, 228752, 232084
50, 1140, 3, 228003, 230251
50, 1150, 3, 227143, 228652
50, 1160, 3, 226119, 229628
50, 1170, 3, 225693, 227247
50, 1180, 3, 225144, 227108
50, 1190, 3, 224365, 227686
50, 1200, 3, 223696, 226677
50, 1210, 3, 223374, 226032
50, 1220, 3, 222677, 226865
50, 1230, 3, 221765, 225270
50, 1240, 3, 218781, 223064
50, 1250, 3, 217522, 221509
50, 1260, 3, 216652, 219291
50, 1270, 3, 216235, 219271
50, 1280, 3, 215665, 218226
50, 1290, 3, 214116, 216101
50, 1300, 3, 213207, 217181
50, 1310, 3, 212631, 215788
50, 1320, 3, 212090, 213042
50, 1330, 3, 211557, 213422
50, 1340, 3, 211440, 213856
50, 1350, 3, 210817, 214438
50, 1360, 3, 209802, 213517
50, 1370, 3, 208942, 212190
50, 1380, 3, 207859, 209892
50, 1390, 3, 206830, 210161
50, 1400, 3, 205681, 209140
50, 1410, 3, 205123, 208680
50, 1420, 3, 204474, 208199
50, 1430, 3, 202644, 206954
50, 1440, 3, 202429, 204033
50, 1450, 3, 202048, 204285
50, 1460, 3, 201562, 205151
50, 1470, 3, 201248, 204186
50, 1480, 3, 201058, 202940
50, 1490, 3, 198933, 202945
50, 1500, 3, 197978, 200498
50, 1510, 3, 197278, 198914
50, 1520, 3, 196718, 197964
50, 1530, 3, 196291, 198422
50, 1540, 3, 195529, 197220
50, 1550, 3, 194899, 198482
50, 1560, 3, 193881, 198558
50, 1570, 3, 193678, 195520
50, 1580, 3, 193187, 196581
50, 1590, 3, 192141, 193664
50, 1600, 3, 191582, 194072
50, 1610, 3, 191248, 193694
50, 1620, 3, 189795, 192576
50, 1630, 3, 189746, 192185
50, 1640, 3, 188718, 192443
50, 1650, 3, 187910, 191527
50, 1660, 3, 187307, 189666
50, 1670, 3, 186870, 188875
50, 1680, 3, 186421, 189653
50, 1690, 3, 186215, 187628
50, 1700, 3, 185515, 188248
50, 1710, 3, 183862, 186908
50, 1720, 3, 182969, 186588
50, 1730, 3, 182492, 183524
50, 1740, 3, 181008, 183418
50, 1750, 3, 179485, 182959
50, 1760, 3, 179250, 182669
50, 1770, 3, 178715, 181174
50, 1780, 3, 178247, 181470
50, 1790, 3, 178072, 180991
50, 1800, 3, 176988, 180002
50, 1810, 3, 176458, 178101
50, 1820, 3, 176414, 177545
50, 1830, 3, 175818, 179104
50, 1840, 3, 174973, 177706
50, 1850, 3, 173994, 177992
50, 1860, 3, 173502, 175744
50, 1870, 3, 172087, 175528
50, 1880, 3, 171856, 173567
50, 1890, 3, 171650, 173933
50, 1900, 3, 171227, 173406
50, 1910, 3, 169760, 171644
50, 1920, 3, 169760, 171218
50, 1930, 3, 169310, 171989
50, 1940, 3, 168553, 171749
50, 1950, 3, 168405, 171898
50, 1960, 3, 167305, 170584
50, 1970, 3, 166912, 169339
50, 1980, 3, 166154, 166804
50, 1990, 3, 165773, 166647
50, 2000, 3, 165429, 168159
50, 2010, 3, 165234, 167937
50, 2020, 3, 164851, 169084
50, 2030, 3, 164758, 167723
50, 2040, 3, 162901, 165450
50, 2050, 3, 162275, 165672
50, 2060, 3, 161952, 164968
50, 2070, 3, 161416, 164308
50, 2080, 3, 161077, 164356
50, 2090, 3, 160946, 163535
50, 2100, 3, 160080, 162322
50, 2110, 3, 160080, 163377
50, 2120, 3, 159531, 162005
50, 2130, 3, 158418, 162513
50, 2140, 3, 158194, 160134
50, 2150, 3, 157870, 161049
50, 2160, 3, 157502, 160956
50, 2170, 3, 157469, 158635
50, 2180, 3, 156435, 157469
50, 2190, 3, 155449, 157277
50, 2200, 3, 155387, 156239
50, 2210, 3, 155150, 157891
50, 2220, 3, 155128, 156500
50, 2230, 3, 155049, 157371
50, 2240, 3, 154974, 159319
50, 2250, 3, 153702, 156273
50, 2260, 3, 153335, 155992
50, 2270, 3, 153077, 154735
50, 2280, 3, 152240, 155767
50, 2290, 3, 151492, 154098
50, 2300, 3, 151193, 154044
50, 2310, 3, 151189, 154772
50, 2320, 3, 151010, 153001
50, 2330, 3, 150538, 153749
50, 2340, 3, 150002, 152128
50, 2350, 3, 149963, 151693
50, 2360, 3, 149432, 153116
50, 2370, 3, 149179, 150410
50, 2380, 3, 148874, 152939
50, 2390, 3, 148635, 150403
50, 2400, 3, 148569, 149724
50, 2410, 3, 147921, 151112
50, 2420, 3, 147742, 148996
50, 2430, 3, 147324, 150207
50, 2440, 3, 147023, 148355
50, 2450, 3, 146853, 149386
50, 2460, 3, 146227, 147684
50, 2470, 3, 145928, 149306
50, 2480, 3, 145505, 147114
50, 2490, 3, 145286, 146990
50, 2500, 3, 145210, 146907
50, 2510, 3, 144925, 148564
50, 2520, 3, 144273, 147271
50, 2530, 3, 143726, 146160
50, 2540, 3, 142968, 146093
50, 2550, 3, 142818, 144553
50, 2560, 3, 142695, 145615
50, 2570, 3, 142258, 145407
50, 2580, 3, 142249, 144797
50, 2590, 3, 142213, 144587
50, 2600, 3, 141951, 145979
50, 2610, 3, 141252, 145178
50, 2620, 3, 140540, 143449
50, 2630, 3, 140449, 141518
50, 2640, 3, 139658, 140898
50, 2650, 3, 139371, 141805
50, 2660, 3, 138757, 140693
50, 2670, 3, 138454, 139188
50, 2680, 3, 138239, 140066
50, 2690, 3, 138189, 139622
50, 2700, 3, 137828, 140352
50, 2710, 3, 137828, 140996
50, 2720, 3, 137345, 139811
50, 2730, 3, 137228, 141272
50, 2740, 3, 137004, 140268
50, 2750, 3, 136696, 137220
50, 2760, 3, 136577, 137995
50, 2770, 3, 136329, 138066
50, 2780, 3, 136237, 138919
50, 2790, 3, 136038, 137826
50, 2800, 3, 135935, 138650
50, 2810, 3, 135328, 138525
50, 2820, 3, 135328, 137704
50, 2830, 3, 135098, 138317
50, 2840, 3, 135002, 136102
50, 2850, 3, 134964, 137872
50, 2860, 3, 134471, 137810
50, 2870, 3, 134329, 136569
50, 2880, 3, 133662, 137429
50, 2890, 3, 133539, 136414
50, 2900, 3, 133508, 135375
50, 2910, 3, 133270, 136215
50, 2920, 3, 132697, 134039
50, 2930, 3, 132393, 134870
50, 2940, 3, 131528, 132986
50, 2950, 3, 131024, 133895
50, 2960, 3, 130661, 131882
50, 2970, 3, 130489, 133330
50, 2980, 3, 130489, 131305
50, 2990, 3, 130397, 130489
50, 3000, 3, 130310, 133674
50, 3010, 3, 129810, 133070
50, 3020, 3, 129414, 131035
50, 3030, 3, 129061, 131286
50, 3040, 3, 129024, 130501
50, 3050, 3, 128725, 130949
50, 3060, 3, 128502, 130970
50, 3070, 3, 128482, 130767
50, 3080, 3, 128368, 129376
50, 3090, 3, 127622, 129600
50, 3100, 3, 127173, 128617
50, 3110, 3, 126659, 129835
50, 3120, 3, 126139, 128209
50, 3130, 3, 126139, 127766
50, 3140, 3, 125654, 128593
50, 3150, 3, 125328, 128098
50, 3160, 3, 125323, 125584
50, 3170, 3, 124906, 127672
50, 3180, 3, 124906, 125524
50, 3190, 3, 124664, 126757
