Population Size, Generation Count, Repetition, Best Fitness, Median Fitness
50, 0, 5, 741658, 772848
50, 10, 5, 713246, 718817
50, 20, 5, 689640, 700288
50, 30, 5, 668656, 676238
50, 40, 5, 652487, 657680
50, 50, 5, 638506, 643029
50, 60, 5, 621772, 626604
50, 70, 5, 606974, 614405
50, 80, 5, 596796, 602162
50, 90, 5, 584007, 590142
50, 100, 5, 577891, 581661
50, 110, 5, 566563, 572042
50, 120, 5, 559841, 565307
50, 130, 5, 548808, 555704
50, 140, 5, 538680, 549131
50, 150, 5, 530069, 533256
50, 160, 5, 520174, 523461
50, 170, 5, 510309, 513991
50, 180, 5, 504264, 508457
50, 190, 5, 495572, 501120
50, 200, 5, 490367, 495120
50, 210, 5, 482773, 485895
50, 220, 5, 474902, 478243
50, 230, 5, 465528, 470410
50, 240, 5, 458817, 462498
50, 250, 5, 452358, 457696
50, 260, 5, 445138, 449152
50, 270, 5, 442130, 444772
50, 280, 5, 437104, 440549
50, 290, 5, 433208, 436925
50, 300, 5, 426083, 430692
50, 310, 5, 422685, 426178
50, 320, 5, 418030, 422608
50, 330, 5, 414864, 417591
50, 340, 5, 411042, 415140
50, 350, 5, 408317, 411749
50, 360, 5, 404082, 408421
50, 370, 5, 398778, 404325
50, 380, 5, 394523, 397582
50, 390, 5, 390712, 393270
50, 400, 5, 386261, 389341
50, 410, 5, 380162, 384526
50, 420, 5, 378025, 380740
50, 430, 5, 375663, 377464
50, 440, 5, 372133, 376031
50, 450, 5, 367867, 370500
50, 460, 5, 364115, 368239
50, 470, 5, 359623, 365222
50, 480, 5, 357463, 359813
50, 490, 5, 351457, 353924
50, 500, 5, 349223, 351060
50, 510, 5, 344889, 348829
50, 520, 5, 341397, 344250
50, 530, 5, 339754, 342820
50, 540, 5, 336958, 339267
50, 550, 5, 334445, 337469
50, 560, 5, 330417, 335099
50, 570, 5, 328579, 333007
50, 580, 5, 327338, 330743
50, 590, 5, 323344, 327372
50, 600, 5, 318549, 323014
50, 610, 5, 316883, 320053
50, 620, 5, 315294, 317602
50, 630, 5, 313750, 316773
50, 640, 5, 312317, 315754
50, 650, 5, 308319, 312319
50, 660, 5, 304411, 308156
50, 670, 5, 303057, 304694
50, 680, 5, 301030, 303371
50, 690, 5, 299276, 303238
50, 700, 5, 296984, 300042
50, 710, 5, 295680, 299838
50, 720, 5, 294426, 297835
50, 730, 5, 291684, 295598
50, 740, 5, 289996, 292308
50, 750, 5, 287872, 291695
50, 760, 5, 286007, 288364
50, 770, 5, 282832, 289104
50, 780, 5, 280017, 284192
50, 790, 5, 277529, 280871
50, 800, 5, 275299, 278796
50, 810, 5, 273382, 276713
50, 820, 5, 272746, 275119
50, 830, 5, 270014, 273072
50, 840, 5, 269139, 271328
50, 850, 5, 266445, 270525
50, 860, 5, 264511, 267157
50, 870, 5, 263099, 265991
50, 880, 5, 261098, 263457
50, 890, 5, 258909, 263669
50, 900, 5, 258043, 259713
50, 910, 5, 257370, 260346
50, 920, 5, 255613, 259534
50, 930, 5, 253970, 257829
50, 940, 5, 251254, 255292
50, 950, 5, 250486, 254158
50, 960, 5, 249115, 250672
50, 970, 5, 248153, 250347
50, 980, 5, 247122, 249968
50, 990, 5, 245842, 247260
50, 1000, 5, 244978, 248251
50, 1010, 5, 243726, 246572
50, 1020, 5, 243239, 245832
50, 1030, 5, 242812, 245256
50, 1040, 5, 241388, 244233
50, 1050, 5, 240028, 243188
50, 1060, 5, 237297, 242222
50, 1070, 5, 235248, 238084
50, 1080, 5, 232677, 236243
50, 1090, 5, 231222, 233868
50, 1100, 5, 230669, 233770
50, 1110, 5, 230348, 232213
50, 1120, 5, 229108, 232633
50, 1130, 5, 227225, 231030
50, 1140, 5, 225528, 229316
50, 1150, 5, 225154, 228465
50, 1160, 5, 223948, 227332
50, 1170, 5, 223335, 226073
50, 1180, 5, 221986, 225715
50, 1190, 5, 220678, 223080
50, 1200, 5, 219894, 223174
50, 1210, 5, 219264, 221549
50, 1220, 5, 219126, 221729
50, 1230, 5, 218821, 222022
50, 1240, 5, 218476, 220373
50, 1250, 5, 217771, 221235
50, 1260, 5, 217128, 219699
50, 1270, 5, 215288, 219759
50, 1280, 5, 214985, 217153
50, 1290, 5, 214392, 215770
50, 1300, 5, 214027, 215183
50, 1310, 5, 213381, 215632
50, 1320, 5, 212447, 215123
50, 1330, 5, 211691, 213051
50, 1340, 5, 211466, 213394
50, 1350, 5, 210994, 213007
50, 1360, 5, 209278, 210284
50, 1370, 5, 208481, 211735
50, 1380, 5, 206837, 209962
50, 1390, 5, 205303, 208486
50, 1400, 5, 205076, 207002
50, 1410, 5, 204822, 209007
50, 1420, 5, 203272, 205361
50, 1430, 5, 202723, 205377
50, 1440, 5, 202141, 204533
50, 1450, 5, 201891, 204427
50, 1460, 5, 199985, 202554
50, 1470, 5, 198954, 202065
50, 1480, 5, 197661, 199396
50, 1490, 5, 197421, 199248
50, 1500, 5, 196549, 198264
50, 1510, 5, 194266, 198617
50, 1520, 5, 193594, 197057
50, 1530, 5, 192936, 196087
50, 1540, 5, 192536, 194340
50, 1550, 5, 191682, 194953
50, 1560, 5, 191130, 193543
50, 1570, 5, 190976, 194058
50, 1580, 5, 189937, 191961
50, 1590, 5, 189847, 193649
50, 1600, 5, 188897, 193173
50, 1610, 5, 188388, 192075
50, 1620, 5, 187470, 190710
50, 1630, 5, 186389, 188963
50, 1640, 5, 185910, 186826
50, 1650, 5, 184759, 187038
50, 1660, 5, 184029, 187966
50, 1670, 5, 183613, 187363
50, 1680, 5, 182211, 184898
50, 1690, 5, 181779, 184912
50, 1700, 5, 181160, 183052
50, 1710, 5, 180671, 184424
50, 1720, 5, 180214, 183341
50, 1730, 5, 178630, 182358
50, 1740, 5, 178161, 182271
50, 1750, 5, 177567, 182281
50, 1760, 5, 177173, 179382
50, 1770, 5, 177141, 180107
50, 1780, 5, 175383, 179328
50, 1790, 5, 175135, 175927
50, 1800, 5, 174893, 176325
50, 1810, 5, 174311, 178101
50, 1820, 5, 173876, 175567
50, 1830, 5, 173209, 175544
50, 1840, 5, 173003, 175612
50, 1850, 5, 171798, 174483
50, 1860, 5, 171798, 175654
50, 1870, 5, 171338, 173978
50, 1880, 5, 170068, 172423
50, 1890, 5, 169483, 173222
50, 1900, 5, 169011, 171646
50, 1910, 5, 168854, 170548
50, 1920, 5, 168478, 170638
50, 1930, 5, 167210, 169450
50, 1940, 5, 166811, 170622
50, 1950, 5, 166715, 168707
50, 1960, 5, 166652, 168878
50, 1970, 5, 165852, 169503
50, 1980, 5, 165454, 165536
50, 1990, 5, 165012, 168041
50, 2000, 5, 164427, 167160
50, 2010, 5, 163606, 166893
50, 2020, 5, 163550, 165321
50, 2030, 5, 163124, 166037
50, 2040, 5, 163124, 164888
50, 2050, 5, 162426, 164676
50, 2060, 5, 161817, 165087
50, 2070, 5, 161508, 163227
50, 2080, 5, 160893, 163917
50, 2090, 5, 158588, 162278
50, 2100, 5, 158074, 160068
50, 2110, 5, 158015, 159789
50, 2120, 5, 158015, 162938
50, 2130, 5, 157826, 161458
50, 2140, 5, 157012, 159608
50, 2150, 5, 156415, 158236
50, 2160, 5, 156008, 158260
50, 2170, 5, 155924, 157134
50, 2180, 5, 155677, 158734
50, 2190, 5, 155052, 156832
50, 2200, 5, 154870, 157800
50, 2210, 5, 154146, 156833
50, 2220, 5, 154077, 156141
50, 2230, 5, 153697, 157250
50, 2240, 5, 153644, 156508
50, 2250, 5, 153605, 156478
50, 2260, 5, 153583, 156802
50, 2270, 5, 152604, 154047
50, 2280, 5, 152430, 154843
50, 2290, 5, 151984, 154930
50, 2300, 5, 151437, 155027
50, 2310, 5, 151261, 153907
50, 2320, 5, 151238, 152318
50, 2330, 5, 150715, 153515
50, 2340, 5, 150454, 153197
50, 2350, 5, 148732, 153064
50, 2360, 5, 148257, 150156
50, 2370, 5, 147944, 150700
50, 2380, 5, 147589, 151727
50, 2390, 5, 147276, 149212
50, 2400, 5, 146876, 148314
50, 2410, 5, 146412, 148587
50, 2420, 5, 146082, 147570
50, 2430, 5, 146008, 149240
50, 2440, 5, 145617, 147928
50, 2450, 5, 145150, 148329
50, 2460, 5, 144063, 147574
50, 2470, 5, 143779, 145781
50, 2480, 5, 143779, 146032
50, 2490, 5, 143608, 146751
50, 2500, 5, 143608, 146392
50, 2510, 5, 143572, 144289
50, 2520, 5, 143572, 146383
50, 2530, 5, 143162, 145349
50, 2540, 5, 143047, 146311
50, 2550, 5, 142989, 145680
50, 2560, 5, 142802, 144041
50, 2570, 5, 142511, 145423
50, 2580, 5, 142162, 145698
50, 2590, 5, 141351, 144243
50, 2600, 5, 140932, 142969
50, 2610, 5, 140834, 143369
50, 2620, 5, 140647, 143332
50, 2630, 5, 140056, 142904
50, 2640, 5, 139474, 141618
50, 2650, 5, 139267, 142088
50, 2660, 5, 138775, 141116
50, 2670, 5, 138310, 142521
50, 2680, 5, 138277, 140195
50, 2690, 5, 137838, 140313
50, 2700, 5, 137652, 139602
50, 2710, 5, 137187, 139732
50, 2720, 5, 136634, 138661
50, 2730, 5, 136079, 139001
50, 2740, 5, 135775, 138793
50, 2750, 5, 135587, 137864
50, 2760, 5, 135114, 136354
50, 2770, 5, 134980, 137184
50, 2780, 5, 134980, 136995
50, 2790, 5, 134765, 136025
50, 2800, 5, 134207, 137237
50, 2810, 5, 134025, 136965
50, 2820, 5, 133974, 134945
50, 2830, 5, 133753, 135627
50, 2840, 5, 133474, 135464
50, 2850, 5, 133404, 135008
50, 2860, 5, 132555, 134475
50, 2870, 5, 132555, 132657
50, 2880, 5, 132469, 135019
50, 2890, 5, 132295, 134317
50, 2900, 5, 132286, 133174
50, 2910, 5, 131437, 136048
50, 2920, 5, 131437, 133976
50, 2930, 5, 131253, 134724
50, 2940, 5, 131040, 133167
50, 2950, 5, 130383, 133739
50, 2960, 5, 130310, 133185
50, 2970, 5, 129794, 131008
50, 2980, 5, 129617, 130814
50, 2990, 5, 129567, 131704
50, 3000, 5, 129567, 129703
50, 3010, 5, 129082, 131676
50, 3020, 5, 128882, 131430
50, 3030, 5, 128694, 129439
50, 3040, 5, 128657, 130333
50, 3050, 5, 128310, 132122
50, 3060, 5, 127711, 131365
50, 3070, 5, 127185, 128154
50, 3080, 5, 126581, 129450
50, 3090, 5, 126581, 128883
50, 3100, 5, 126314, 127820
50, 3110, 5, 126060, 128213
50, 3120, 5, 126060, 128365
50, 3130, 5, 125860, 126535
50, 3140, 5, 125392, 127933
50, 3150, 5, 124870, 129188
50, 3160, 5, 124818, 126960
50, 3170, 5, 124343, 125648
50, 3180, 5, 123896, 126815
50, 3190, 5, 123495, 124294
50, 3200, 5, 123389, 125928
50, 3210, 5, 123290, 125180
50, 3220, 5, 123193, 124424
50, 3230, 5, 123060, 125082
50, 3240, 5, 123007, 126442
50, 3250, 5, 122894, 124914
50, 3260, 5, 122814, 126097
50, 3270, 5, 122752, 125771
50, 3280, 5, 122638, 125208
50, 3290, 5, 122074, 124855
50, 3300, 5, 121842, 124775
50, 3310, 5, 121679, 125715
50, 3320, 5, 120524, 123214
50, 3330, 5, 118755, 122037
50, 3340, 5, 118664, 120994
50, 3350, 5, 118202, 122130
50, 3360, 5, 118202, 118793
50, 3370, 5, 118202, 121126
50, 3380, 5, 118202, 118620
50, 3390, 5, 118153, 119678
50, 3400, 5, 118002, 118239
50, 3410, 5, 117917, 119182
50, 3420, 5, 117305, 120336
50, 3430, 5, 117305, 118103
50, 3440, 5, 117113, 119448
50, 3450, 5, 116839, 118214
50, 3460, 5, 116816, 118788
50, 3470, 5, 116625, 118834
50, 3480, 5, 116625, 118267
50, 3490, 5, 116549, 119627
50, 3500, 5, 116022, 117429
50, 3510, 5, 116022, 117296
50, 3520, 5, 115985, 117794
50, 3530, 5, 115396, 116806
50, 3540, 5, 115202, 116978
50, 3550, 5, 115137, 117929
50, 3560, 5, 115035, 116594
50, 3570, 5, 114751, 117387
50, 3580, 5, 114624, 116385
50, 3590, 5, 114448, 115476
50, 3600, 5, 114361, 117482
50, 3610, 5, 114086, 117029
50, 3620, 5, 113828, 117332
50, 3630, 5, 113632, 113828
50, 3640, 5, 113068, 115363
50, 3650, 5, 112778, 113565
50, 3660, 5, 112778, 115701
50, 3670, 5, 112670, 116144
50, 3680, 5, 112670, 115908
50, 3690, 5, 112608, 113056
50, 3700, 5, 112608, 114135
50, 3710, 5, 112408, 115365
50, 3720, 5, 112408, 113883
50, 3730, 5, 112292, 113755
50, 3740, 5, 112292, 113488
50, 3750, 5, 112150, 114466
50, 3760, 5, 111977, 112756
50, 3770, 5, 111482, 111990
50, 3780, 5, 111323, 112748
50, 3790, 5, 110760, 112636
50, 3800, 5, 110760, 111701
50, 3810, 5, 110633, 110904
50, 3820, 5, 110331, 110633
50, 3830, 5, 110042, 111971
50, 3840, 5, 110042, 112014
50, 3850, 5, 110042, 112210
50, 3860, 5, 109900, 111400
50, 3870, 5, 109744, 113115
50, 3880, 5, 109744, 111777
50, 3890, 5, 109744, 109744
50, 3900, 5, 109610, 110691
50, 3910, 5, 109610, 110328
50, 3920, 5, 109552, 110384
50, 3930, 5, 109352, 110089
50, 3940, 5, 109110, 111741
50, 3950, 5, 109032, 110164
50, 3960, 5, 108854, 110062
50, 3970, 5, 108600, 110996
50, 3980, 5, 108436, 110341
50, 3990, 5, 108436, 109758
50, 4000, 5, 108380, 109713
50, 4010, 5, 108380, 110752
50, 4020, 5, 108156, 110575
50, 4030, 5, 108156, 109293
50, 4040, 5, 107897, 111713
50, 4050, 5, 107897, 110418
50, 4060, 5, 107897, 107897
50, 4070, 5, 107709, 110143
50, 4080, 5, 107709, 109323
50, 4090, 5, 107709, 109227
50, 4100, 5, 107589, 110686
50, 4110, 5, 107465, 107812
50, 4120, 5, 106968, 109686
50, 4130, 5, 106784, 109912
50, 4140, 5, 106523, 107067
50, 4150, 5, 106239, 106430
50, 4160, 5, 106239, 106803
50, 4170, 5, 105777, 109076
50, 4180, 5, 105370, 108149
50, 4190, 5, 105370, 107355
50, 4200, 5, 105342, 107295
50, 4210, 5, 105184, 106291
50, 4220, 5, 105184, 106366
50, 4230, 5, 105040, 108016
50, 4240, 5, 104841, 106468
50, 4250, 5, 104841, 107192
50, 4260, 5, 104686, 106550
50, 4270, 5, 104686, 104686
50, 4280, 5, 104634, 107012
50, 4290, 5, 104322, 106458
