Population Size, Generation Count, Repetition, Best Fitness, Median Fitness
50, 0, 16, 732042, 772867
50, 10, 16, 703078, 711861
50, 20, 16, 681102, 690464
50, 30, 16, 664342, 672507
50, 40, 16, 635191, 647246
50, 50, 16, 621799, 629241
50, 60, 16, 608155, 614172
50, 70, 16, 596571, 599970
50, 80, 16, 580118, 584873
50, 90, 16, 570600, 575725
50, 100, 16, 561266, 565703
50, 110, 16, 549808, 556304
50, 120, 16, 533900, 543550
50, 130, 16, 525031, 528951
50, 140, 16, 514936, 520848
50, 150, 16, 502575, 507993
50, 160, 16, 495647, 500436
50, 170, 16, 487123, 490507
50, 180, 16, 480698, 485819
50, 190, 16, 475750, 479859
50, 200, 16, 468282, 474038
50, 210, 16, 461726, 464540
50, 220, 16, 456116, 460575
50, 230, 16, 451870, 456802
50, 240, 16, 445288, 449791
50, 250, 16, 441167, 443131
50, 260, 16, 435064, 440862
50, 270, 16, 427535, 431233
50, 280, 16, 421197, 425613
50, 290, 16, 412562, 418071
50, 300, 16, 408127, 414128
50, 310, 16, 402553, 405280
50, 320, 16, 398224, 401844
50, 330, 16, 392757, 398876
50, 340, 16, 389674, 392359
50, 350, 16, 384843, 388858
50, 360, 16, 381706, 384962
50, 370, 16, 377247, 381572
50, 380, 16, 374445, 377793
50, 390, 16, 367969, 370670
50, 400, 16, 361547, 368261
50, 410, 16, 358123, 361817
50, 420, 16, 354192, 358829
50, 430, 16, 352160, 356930
50, 440, 16, 349240, 352205
50, 450, 16, 347316, 350396
50, 460, 16, 344264, 348508
50, 470, 16, 341483, 346254
50, 480, 16, 339012, 341650
50, 490, 16, 337384, 340413
50, 500, 16, 332386, 334638
50, 510, 16, 328498, 331417
50, 520, 16, 325085, 328953
50, 530, 16, 322932, 326167
50, 540, 16, 321319, 324061
50, 550, 16, 319079, 321940
50, 560, 16, 315965, 319982
50, 570, 16, 311289, 316002
50, 580, 16, 308148, 310891
50, 590, 16, 305303, 308605
50, 600, 16, 302691, 304598
50, 610, 16, 300322, 304459
50, 620, 16, 298371, 300539
50, 630, 16, 297125, 299436
50, 640, 16, 294275, 298409
50, 650, 16, 293005, 295854
50, 660, 16, 291140, 294439
50, 670, 16, 286261, 291457
50, 680, 16, 285032, 287652
50, 690, 16, 282192, 286317
50, 700, 16, 280197, 283696
50, 710, 16, 277825, 281420
50, 720, 16, 276482, 279017
50, 730, 16, 274135, 277449
50, 740, 16, 272305, 275854
50, 750, 16, 270389, 273701
50, 760, 16, 267450, 270742
50, 770, 16, 266589, 269177
50, 780, 16, 264189, 267593
50, 790, 16, 263619, 266128
50, 800, 16, 260089, 263769
50, 810, 16, 259035, 261893
50, 820, 16, 258004, 259777
50, 830, 16, 256838, 260133
50, 840, 16, 254882, 258610
50, 850, 16, 253783, 257496
50, 860, 16, 252657, 256387
50, 870, 16, 251596, 252768
50, 880, 16, 250990, 253625
50, 890, 16, 249535, 254103
50, 900, 16, 249222, 251706
50, 910, 16, 248003, 251415
50, 920, 16, 246824, 248652
50, 930, 16, 245931, 247165
50, 940, 16, 243223, 246674
50, 950, 16, 241834, 244611
50, 960, 16, 240755, 242909
50, 970, 16, 238957, 241409
50, 980, 16, 238516, 241176
50, 990, 16, 235872, 239166
50, 1000, 16, 235439, 239363
50, 1010, 16, 233779, 238654
50, 1020, 16, 233025, 237219
50, 1030, 16, 230912, 233762
50, 1040, 16, 228864, 231772
50, 1050, 16, 227989, 231389
50, 1060, 16, 226537, 228832
50, 1070, 16, 226190, 228133
50, 1080, 16, 224923, 228089
50, 1090, 16, 222853, 226567
50, 1100, 16, 221345, 225457
50, 1110, 16, 220367, 224492
50, 1120, 16, 218890, 223042
50, 1130, 16, 218029, 220561
50, 1140, 16, 217349, 220565
50, 1150, 16, 215726, 218600
50, 1160, 16, 215380, 218546
50, 1170, 16, 214351, 217616
50, 1180, 16, 213738, 215874
50, 1190, 16, 212812, 216418
50, 1200, 16, 211365, 214637
50, 1210, 16, 211017, 212855
50, 1220, 16, 210348, 213962
50, 1230, 16, 209777, 212449
50, 1240, 16, 208690, 211109
50, 1250, 16, 208284, 212127
50, 1260, 16, 207832, 210187
50, 1270, 16, 207525, 211023
50, 1280, 16, 206214, 208681
50, 1290, 16, 205781, 209141
50, 1300, 16, 204530, 207525
50, 1310, 16, 203443, 206374
50, 1320, 16, 203224, 207319
50, 1330, 16, 202192, 205707
50, 1340, 16, 201577, 203736
50, 1350, 16, 200864, 205286
50, 1360, 16, 200479, 203160
50, 1370, 16, 199159, 201557
50, 1380, 16, 197778, 201078
50, 1390, 16, 197604, 200429
50, 1400, 16, 195290, 199675
50, 1410, 16, 194702, 196896
50, 1420, 16, 193103, 195676
50, 1430, 16, 192775, 195492
50, 1440, 16, 191055, 194386
50, 1450, 16, 191039, 193336
50, 1460, 16, 190210, 191101
50, 1470, 16, 189710, 190817
50, 1480, 16, 189028, 191889
50, 1490, 16, 187498, 190800
50, 1500, 16, 186580, 190494
50, 1510, 16, 185909, 188678
50, 1520, 16, 185126, 188715
50, 1530, 16, 184818, 186726
50, 1540, 16, 184298, 187053
50, 1550, 16, 183227, 185958
50, 1560, 16, 182619, 184604
50, 1570, 16, 182547, 185325
50, 1580, 16, 181576, 182148
50, 1590, 16, 181382, 184127
50, 1600, 16, 180849, 182596
50, 1610, 16, 180766, 183247
50, 1620, 16, 179729, 183034
50, 1630, 16, 179377, 180622
50, 1640, 16, 179204, 181846
50, 1650, 16, 178722, 181698
50, 1660, 16, 177739, 179912
50, 1670, 16, 176993, 180283
50, 1680, 16, 176427, 180092
50, 1690, 16, 175914, 179025
50, 1700, 16, 175618, 176967
50, 1710, 16, 175097, 179477
50, 1720, 16, 174727, 178294
50, 1730, 16, 174356, 176562
50, 1740, 16, 172195, 173896
50, 1750, 16, 172013, 174423
50, 1760, 16, 171441, 174834
50, 1770, 16, 170360, 174359
50, 1780, 16, 169797, 175956
50, 1790, 16, 167916, 171150
50, 1800, 16, 167332, 170457
50, 1810, 16, 166940, 168063
50, 1820, 16, 165434, 168953
50, 1830, 16, 164900, 169297
50, 1840, 16, 164702, 168409
50, 1850, 16, 164539, 167925
50, 1860, 16, 163917, 164982
50, 1870, 16, 163497, 165540
50, 1880, 16, 162663, 165878
50, 1890, 16, 161813, 165817
50, 1900, 16, 161111, 163934
50, 1910, 16, 160624, 164421
50, 1920, 16, 160179, 163530
50, 1930, 16, 160172, 161735
50, 1940, 16, 159464, 161564
50, 1950, 16, 159245, 161416
50, 1960, 16, 157964, 161033
50, 1970, 16, 157634, 161278
50, 1980, 16, 157218, 161200
50, 1990, 16, 156883, 159219
50, 2000, 16, 156831, 160454
50, 2010, 16, 156701, 159215
50, 2020, 16, 156341, 160125
50, 2030, 16, 156256, 159705
50, 2040, 16, 155740, 159671
50, 2050, 16, 154848, 157543
50, 2060, 16, 154243, 156784
50, 2070, 16, 154197, 157869
50, 2080, 16, 154065, 154847
50, 2090, 16, 153584, 156068
50, 2100, 16, 153212, 153584
50, 2110, 16, 153075, 155346
50, 2120, 16, 152942, 154289
50, 2130, 16, 152623, 155285
50, 2140, 16, 152418, 154967
50, 2150, 16, 151619, 154045
50, 2160, 16, 150939, 151619
50, 2170, 16, 150690, 153136
50, 2180, 16, 149957, 152540
50, 2190, 16, 149365, 153107
50, 2200, 16, 148753, 150628
50, 2210, 16, 148406, 150911
50, 2220, 16, 147857, 150284
50, 2230, 16, 147271, 150580
50, 2240, 16, 146505, 148550
50, 2250, 16, 146027, 147235
50, 2260, 16, 146027, 148622
50, 2270, 16, 145867, 148224
50, 2280, 16, 145776, 149022
50, 2290, 16, 145491, 146084
50, 2300, 16, 145421, 147187
