Population Size, Generation Count, Repetition, Best Fitness, Median Fitness
100, 0, 4, 727637, 766950
100, 10, 4, 676567, 694311
100, 20, 4, 655981, 664176
100, 30, 4, 635044, 643469
100, 40, 4, 613842, 625830
100, 50, 4, 596082, 606463
100, 60, 4, 583973, 590132
100, 70, 4, 566064, 572831
100, 80, 4, 556359, 560867
100, 90, 4, 545168, 550583
100, 100, 4, 530295, 539304
100, 110, 4, 519732, 525699
100, 120, 4, 510017, 514761
100, 130, 4, 497922, 505041
100, 140, 4, 488514, 495417
100, 150, 4, 483250, 487169
100, 160, 4, 473718, 477984
100, 170, 4, 466167, 472469
100, 180, 4, 459403, 465996
100, 190, 4, 455074, 458791
100, 200, 4, 450639, 454526
100, 210, 4, 445052, 449115
100, 220, 4, 438323, 443210
100, 230, 4, 428341, 434458
100, 240, 4, 423738, 427286
100, 250, 4, 419648, 422958
100, 260, 4, 414075, 418646
100, 270, 4, 407654, 412915
100, 280, 4, 405962, 408865
100, 290, 4, 400966, 404589
100, 300, 4, 396027, 400004
100, 310, 4, 393383, 396445
100, 320, 4, 388795, 392558
100, 330, 4, 385189, 388592
100, 340, 4, 379353, 385371
100, 350, 4, 376463, 379038
100, 360, 4, 373024, 377754
100, 370, 4, 370787, 374848
100, 380, 4, 365127, 370239
100, 390, 4, 360302, 365066
100, 400, 4, 355349, 358245
100, 410, 4, 351968, 355128
100, 420, 4, 349237, 352102
100, 430, 4, 345318, 348062
100, 440, 4, 341915, 344889
100, 450, 4, 336599, 341140
100, 460, 4, 334378, 337667
100, 470, 4, 331675, 334794
100, 480, 4, 329040, 332108
100, 490, 4, 327326, 330680
100, 500, 4, 323585, 327878
100, 510, 4, 321733, 325002
100, 520, 4, 319898, 322727
100, 530, 4, 316001, 319732
100, 540, 4, 313883, 317101
100, 550, 4, 310805, 314871
100, 560, 4, 308629, 312563
100, 570, 4, 307272, 309633
100, 580, 4, 304578, 307673
100, 590, 4, 300888, 304057
100, 600, 4, 298050, 302888
100, 610, 4, 294373, 299131
100, 620, 4, 292767, 295689
100, 630, 4, 289422, 293716
100, 640, 4, 288255, 291200
100, 650, 4, 286551, 288873
100, 660, 4, 284131, 288996
100, 670, 4, 280895, 284937
100, 680, 4, 276530, 280563
100, 690, 4, 275404, 278644
100, 700, 4, 273015, 276532
100, 710, 4, 271610, 274966
100, 720, 4, 269581, 273624
100, 730, 4, 268577, 270817
