Population Size, Generation Count, Repetition, Best Fitness, Median Fitness
20, 0, 15, 743338, 768841
20, 10, 15, 711407, 714565
20, 20, 15, 697623, 700061
20, 30, 15, 679518, 683085
20, 40, 15, 659664, 662255
20, 50, 15, 647929, 654237
20, 60, 15, 630632, 635537
20, 70, 15, 619636, 622747
20, 80, 15, 611139, 614096
20, 90, 15, 596932, 601460
20, 100, 15, 589000, 591578
20, 110, 15, 580476, 583024
20, 120, 15, 571251, 574730
20, 130, 15, 565850, 567328
20, 140, 15, 554122, 558479
20, 150, 15, 546289, 551846
20, 160, 15, 536483, 542460
20, 170, 15, 528411, 533459
20, 180, 15, 521461, 526603
20, 190, 15, 515364, 522464
20, 200, 15, 507403, 511681
20, 210, 15, 501898, 504246
20, 220, 15, 497628, 499868
20, 230, 15, 491683, 496422
20, 240, 15, 487800, 489213
20, 250, 15, 479968, 482712
20, 260, 15, 471845, 475432
20, 270, 15, 462953, 468368
20, 280, 15, 457908, 461180
20, 290, 15, 455391, 457478
20, 300, 15, 450664, 452807
20, 310, 15, 444224, 447336
20, 320, 15, 441524, 442733
20, 330, 15, 438567, 441701
20, 340, 15, 434607, 439781
20, 350, 15, 431751, 433860
20, 360, 15, 427176, 431677
20, 370, 15, 425183, 428063
20, 380, 15, 421790, 423533
20, 390, 15, 419537, 424420
20, 400, 15, 417014, 420786
20, 410, 15, 412049, 416971
20, 420, 15, 409688, 411268
20, 430, 15, 406931, 407699
20, 440, 15, 404471, 406329
20, 450, 15, 401278, 404028
20, 460, 15, 398365, 401582
20, 470, 15, 396238, 398449
20, 480, 15, 394130, 397178
20, 490, 15, 391343, 392920
20, 500, 15, 388467, 392287
20, 510, 15, 383682, 389315
20, 520, 15, 379619, 383491
20, 530, 15, 377787, 381573
20, 540, 15, 374541, 375433
20, 550, 15, 372679, 374432
20, 560, 15, 370350, 373526
20, 570, 15, 365207, 369745
20, 580, 15, 362359, 364411
20, 590, 15, 359682, 362515
20, 600, 15, 358176, 360111
20, 610, 15, 356395, 360740
20, 620, 15, 353299, 356610
20, 630, 15, 349078, 356291
20, 640, 15, 347779, 348997
20, 650, 15, 344755, 350451
20, 660, 15, 344312, 345659
20, 670, 15, 343381, 345715
20, 680, 15, 342772, 344071
20, 690, 15, 340130, 345840
20, 700, 15, 339808, 341480
20, 710, 15, 338191, 342371
20, 720, 15, 334238, 338045
20, 730, 15, 333073, 335817
20, 740, 15, 330600, 333943
20, 750, 15, 328774, 332692
20, 760, 15, 326898, 329385
20, 770, 15, 325551, 329002
20, 780, 15, 324070, 325752
20, 790, 15, 322501, 326624
20, 800, 15, 321061, 321953
20, 810, 15, 318756, 320641
20, 820, 15, 316224, 321464
20, 830, 15, 315114, 319186
20, 840, 15, 309830, 312807
20, 850, 15, 308856, 312382
20, 860, 15, 307673, 309941
20, 870, 15, 305073, 307838
20, 880, 15, 302465, 305833
20, 890, 15, 301463, 304526
20, 900, 15, 300768, 305031
20, 910, 15, 298528, 301371
20, 920, 15, 297309, 299860
20, 930, 15, 296040, 299902
20, 940, 15, 294230, 298648
20, 950, 15, 294065, 296004
20, 960, 15, 293013, 295732
20, 970, 15, 291660, 293483
20, 980, 15, 290209, 294012
20, 990, 15, 286271, 288228
20, 1000, 15, 285113, 287275
20, 1010, 15, 282066, 283244
20, 1020, 15, 279498, 281064
20, 1030, 15, 277336, 280123
20, 1040, 15, 276062, 277336
20, 1050, 15, 274989, 276677
20, 1060, 15, 273776, 274989
20, 1070, 15, 272898, 274099
20, 1080, 15, 271989, 274060
20, 1090, 15, 269855, 271979
20, 1100, 15, 266459, 270745
20, 1110, 15, 265775, 267968
20, 1120, 15, 264728, 266688
