Population Size, Generation Count, Repetition, Best Fitness, Median Fitness
100, 0, 25, 726770, 773477
100, 10, 25, 680866, 695251
100, 20, 25, 656708, 667952
100, 30, 25, 635957, 643561
100, 40, 25, 616630, 624198
100, 50, 25, 594928, 604588
100, 60, 25, 579017, 587907
100, 70, 25, 563010, 571068
100, 80, 25, 554701, 560334
100, 90, 25, 544094, 549863
100, 100, 25, 527707, 532316
100, 110, 25, 517389, 524349
100, 120, 25, 508703, 514779
100, 130, 25, 499598, 504879
100, 140, 25, 486371, 492999
100, 150, 25, 476876, 484264
100, 160, 25, 471628, 475987
100, 170, 25, 463294, 468931
100, 180, 25, 456940, 462770
100, 190, 25, 451128, 453822
100, 200, 25, 444914, 448663
100, 210, 25, 437590, 442017
100, 220, 25, 434673, 438023
100, 230, 25, 430486, 434304
100, 240, 25, 425385, 428693
100, 250, 25, 421330, 425304
100, 260, 25, 417179, 419290
100, 270, 25, 409692, 415885
100, 280, 25, 404043, 409459
100, 290, 25, 400492, 404268
100, 300, 25, 397383, 401003
100, 310, 25, 392795, 398804
100, 320, 25, 388961, 392865
100, 330, 25, 385690, 388819
100, 340, 25, 382497, 385921
100, 350, 25, 378118, 382688
100, 360, 25, 374097, 378178
100, 370, 25, 370225, 373674
100, 380, 25, 366618, 369911
100, 390, 25, 363860, 366629
100, 400, 25, 359874, 364195
100, 410, 25, 355726, 361279
100, 420, 25, 352960, 356820
100, 430, 25, 349380, 353318
100, 440, 25, 347309, 350245
100, 450, 25, 342601, 346598
100, 460, 25, 339461, 343547
100, 470, 25, 336700, 340250
100, 480, 25, 333584, 336190
100, 490, 25, 332130, 334631
100, 500, 25, 330848, 333617
100, 510, 25, 328348, 331097
100, 520, 25, 323584, 328299
100, 530, 25, 321196, 324309
100, 540, 25, 319338, 321310
100, 550, 25, 317033, 320345
100, 560, 25, 314437, 317502
100, 570, 25, 311330, 315146
100, 580, 25, 308162, 311117
100, 590, 25, 305333, 308968
100, 600, 25, 303823, 306753
100, 610, 25, 301924, 306367
100, 620, 25, 299782, 304545
100, 630, 25, 297559, 300490
100, 640, 25, 293325, 296728
100, 650, 25, 290662, 293344
100, 660, 25, 288005, 291321
100, 670, 25, 284768, 289494
100, 680, 25, 283037, 287847
100, 690, 25, 281291, 284403
100, 700, 25, 279866, 281968
100, 710, 25, 277704, 280611
100, 720, 25, 275435, 279595
100, 730, 25, 273440, 276161
100, 740, 25, 271904, 274800
100, 750, 25, 269747, 272409
100, 760, 25, 267395, 270144
100, 770, 25, 264270, 268224
100, 780, 25, 262386, 265234
100, 790, 25, 261718, 264055
100, 800, 25, 259705, 262030
100, 810, 25, 258733, 261466
100, 820, 25, 257395, 260458
100, 830, 25, 255170, 258770
100, 840, 25, 254028, 257206
100, 850, 25, 252575, 255125
100, 860, 25, 251614, 254124
100, 870, 25, 249381, 254073
100, 880, 25, 248519, 250207
100, 890, 25, 247557, 250413
100, 900, 25, 244905, 249486
100, 910, 25, 242499, 245654
100, 920, 25, 241549, 245185
100, 930, 25, 238709, 242037
100, 940, 25, 236147, 240522
100, 950, 25, 234433, 238513
100, 960, 25, 233317, 237106
100, 970, 25, 231816, 235252
100, 980, 25, 230233, 233373
100, 990, 25, 229653, 232431
100, 1000, 25, 227731, 232008
100, 1010, 25, 226168, 229539
100, 1020, 25, 225224, 228438
100, 1030, 25, 223054, 226605
100, 1040, 25, 222483, 224519
100, 1050, 25, 221553, 225151
100, 1060, 25, 221140, 223644
100, 1070, 25, 220076, 222568
100, 1080, 25, 219395, 221955
