Population Size, Generation Count, Repetition, Best Fitness, Median Fitness
20, 0, 7, 739594, 772082
20, 10, 7, 701222, 716522
20, 20, 7, 686202, 690551
20, 30, 7, 669187, 672900
20, 40, 7, 650442, 654575
20, 50, 7, 639688, 643539
20, 60, 7, 628335, 632379
20, 70, 7, 617970, 622035
20, 80, 7, 610737, 615200
20, 90, 7, 600457, 603640
20, 100, 7, 593222, 595415
20, 110, 7, 581057, 584771
20, 120, 7, 572966, 577216
20, 130, 7, 564482, 569410
20, 140, 7, 557689, 561233
20, 150, 7, 552737, 553690
20, 160, 7, 539715, 542458
20, 170, 7, 530693, 534159
20, 180, 7, 519109, 522921
20, 190, 7, 514839, 518068
20, 200, 7, 511799, 513245
20, 210, 7, 507214, 509319
20, 220, 7, 502926, 505467
20, 230, 7, 496357, 498653
20, 240, 7, 490658, 495175
20, 250, 7, 485230, 488627
20, 260, 7, 479274, 483473
20, 270, 7, 471554, 474417
20, 280, 7, 468972, 470552
20, 290, 7, 463455, 466436
20, 300, 7, 458168, 462887
20, 310, 7, 455101, 458378
20, 320, 7, 451249, 453218
20, 330, 7, 445964, 448968
20, 340, 7, 440628, 443429
20, 350, 7, 434813, 437548
20, 360, 7, 430287, 431727
20, 370, 7, 426760, 429820
20, 380, 7, 422706, 426561
20, 390, 7, 418675, 421701
20, 400, 7, 415598, 417850
20, 410, 7, 409132, 415068
20, 420, 7, 406866, 409020
20, 430, 7, 402549, 406147
20, 440, 7, 397300, 398704
20, 450, 7, 394239, 399074
20, 460, 7, 390525, 391901
20, 470, 7, 388151, 392300
20, 480, 7, 386315, 387482
20, 490, 7, 384569, 386707
20, 500, 7, 378588, 381187
20, 510, 7, 374781, 381168
20, 520, 7, 372068, 374905
20, 530, 7, 368095, 371024
20, 540, 7, 368066, 369752
20, 550, 7, 365620, 367930
20, 560, 7, 362373, 365398
20, 570, 7, 360952, 363975
20, 580, 7, 357900, 362655
20, 590, 7, 355971, 356756
20, 600, 7, 354494, 355744
20, 610, 7, 353889, 356330
20, 620, 7, 352382, 353205
20, 630, 7, 351743, 355733
20, 640, 7, 351114, 353122
20, 650, 7, 345843, 347947
20, 660, 7, 345260, 347493
20, 670, 7, 344068, 345085
20, 680, 7, 341821, 344979
20, 690, 7, 341207, 344604
20, 700, 7, 339594, 342806
20, 710, 7, 336649, 338390
20, 720, 7, 334925, 337861
20, 730, 7, 333206, 334993
20, 740, 7, 333206, 335294
20, 750, 7, 330810, 332593
20, 760, 7, 329689, 332656
20, 770, 7, 325792, 330080
20, 780, 7, 325074, 328308
20, 790, 7, 321129, 325175
20, 800, 7, 320512, 323591
20, 810, 7, 319212, 320971
20, 820, 7, 316951, 319269
20, 830, 7, 315795, 317919
20, 840, 7, 315352, 319239
20, 850, 7, 314290, 315957
20, 860, 7, 311564, 315373
20, 870, 7, 311384, 314907
20, 880, 7, 309908, 313768
20, 890, 7, 308721, 311912
20, 900, 7, 307057, 311482
20, 910, 7, 306156, 309442
20, 920, 7, 304484, 306964
20, 930, 7, 303150, 304229
20, 940, 7, 301322, 304249
20, 950, 7, 301123, 304099
20, 960, 7, 299097, 301642
20, 970, 7, 297325, 300859
20, 980, 7, 294389, 300038
20, 990, 7, 291849, 292807
20, 1000, 7, 289120, 292309
20, 1010, 7, 287370, 289261
20, 1020, 7, 286868, 289790
20, 1030, 7, 285487, 286801
20, 1040, 7, 283719, 286520
20, 1050, 7, 281750, 284591
20, 1060, 7, 280572, 281862
20, 1070, 7, 278435, 280546
20, 1080, 7, 277710, 281102
20, 1090, 7, 276402, 279343
20, 1100, 7, 275980, 277037
20, 1110, 7, 275105, 277068
20, 1120, 7, 274539, 275297
20, 1130, 7, 274319, 276564
20, 1140, 7, 272877, 274761
20, 1150, 7, 271340, 273599
20, 1160, 7, 270728, 272269
20, 1170, 7, 269822, 274987
20, 1180, 7, 267835, 270487
20, 1190, 7, 266584, 268784
20, 1200, 7, 264965, 266962
20, 1210, 7, 263695, 265043
20, 1220, 7, 263121, 264572
20, 1230, 7, 260629, 263175
20, 1240, 7, 259531, 260801
20, 1250, 7, 258798, 260819
20, 1260, 7, 258065, 260663
20, 1270, 7, 257304, 260983
20, 1280, 7, 256107, 257107
20, 1290, 7, 255200, 256627
20, 1300, 7, 253954, 257093
20, 1310, 7, 251074, 256089
20, 1320, 7, 250808, 255764
20, 1330, 7, 250002, 253587
20, 1340, 7, 247318, 252142
20, 1350, 7, 246127, 248535
20, 1360, 7, 245265, 249817
20, 1370, 7, 244875, 247235
20, 1380, 7, 243856, 247453
20, 1390, 7, 243473, 248422
20, 1400, 7, 243289, 245363
20, 1410, 7, 243115, 245466
20, 1420, 7, 242457, 246311
20, 1430, 7, 241260, 242537
20, 1440, 7, 241008, 244353
20, 1450, 7, 240933, 241240
20, 1460, 7, 239441, 241888
20, 1470, 7, 238364, 241228
20, 1480, 7, 237602, 239703
20, 1490, 7, 237411, 240669
20, 1500, 7, 236024, 241708
20, 1510, 7, 235557, 237475
20, 1520, 7, 234209, 235718
20, 1530, 7, 233981, 238186
20, 1540, 7, 233828, 234935
20, 1550, 7, 233685, 236349
20, 1560, 7, 233109, 236897
20, 1570, 7, 232678, 235633
20, 1580, 7, 232005, 233049
20, 1590, 7, 231770, 233843
20, 1600, 7, 231145, 235691
20, 1610, 7, 229591, 230895
20, 1620, 7, 229071, 230692
